84172
_ po:div
bien po:adv
m'en po:err
sino po:pfx
t'en po:err
t'on po:err
belgo po:pfx
russo po:pfx
toute po:adv
HT po:loc.adj
al po:loc.adv
canado po:pfx
franco po:pfx
ftp/S= po:pfx
go po:loc.adv
id po:loc.adv
toutes po:adv
TTC po:loc.adj
be/||-- po:sfx
cf po:loc.verb
cit po:loc.nom
die po:loc.adv
etc po:loc.adv
fr/||-- po:sfx
germano po:pfx
hispano po:pfx
hoc po:loc.adv
http/S= po:pfx
nu/F.() po:adj
ovo po:loc.adv
qua po:loc.adv
québéco po:pfx
sui po:loc.adv
sus po:loc.adv
t'il/S= po:err
un/F.() po:nom
vu/F.() po:nom
âgé/F.() po:adj
âne/F+() po:nom
bis/F.() po:adj
bot/F.() po:adj
bric po:loc.adv
com/||-- po:sfx
cru/F.() po:adj
demi po:loc.adv
dru/F.() po:adj
élu/F.() po:nom
feu/F.() po:adj
gai/F.() po:adj
las/F+() po:adj
manu po:loc.adv
modo po:loc.adv
mou/F+() po:adj
mûr/F.() po:adj
net/F+() po:adj
nunc po:loc.adv
orbi po:loc.adv
org/||-- po:sfx
ové/F.() po:adj
quia po:loc.adv
ras/F.() po:adj
rat/F.() po:nom
sine po:loc.adv
situ po:loc.adv
sur/F.() po:adj
sûr/F.() po:adj
tel/F+() po:adj
urbi po:loc.adv
vif/F.() po:adj
vil/F.() po:adj
visu po:loc.adv
vivo po:loc.adv
www/||-- po:pfx
aigu/Fx() po:adj
ailé/F.() po:adj
aimé/F.() po:nom
aisé/F.() po:adj
amer/F.() po:adj
anal/W.() po:adj
ansé/F.() po:adj
ardu/F.() po:adj
béat/F.() po:adj
bégu/Fx() po:adj
blet/F+() po:adj
brut/F.() po:adj
çà/L'D'Q' po:adv
camé/F.() po:nom
capé/F.() po:adj
causa po:loc.adj
chat/F+() po:nom
chef/F+() po:nom
cher/F.() po:adj
ci/L'D'Q' po:adv
conf po:loc.verb
dalle po:loc.adv
de-ci po:loc.adv
de-là po:loc.adv
dodu/F.() po:adj
doré/F.() po:nom
doué/F.() po:adj
dual/W.() po:adj
duel/F+() po:adj
embu/F.() po:adj
et po:mg po:cjco
facto po:loc.adv
famé/F.() po:adj
fêlé/F.() po:nom
flou/F.() po:adj
foxé/F.() po:adj
fumé/F.() po:nom
futé/F.() po:adj
gazé/F.() po:nom
gent/F.() po:adj
gras/F+() po:adj
haut/F.() po:adj
igné/F.() po:adj
imam/F.() po:nom
imbu/F.() po:adj
indu/F.() po:adj
inné/F.() po:adj
irato po:loc.adv
joli/F.() po:adj
juré/F.() po:nom
là/L'D'Q' po:adv
lent/F.() po:adj
levé/F.() po:nom
lion/F+() po:nom
long/F.() po:adj
luné/F.() po:adj
lyré/F.() po:adj
makach po:negadv
menu/F.() po:adj
mire/F+() po:nom
mort/F.() po:nom
moyé/F.() po:adj
mûri/F.() po:adj
ni po:mg po:cjco
œuvé/F.() po:adj
ogre/F+() po:nom
ondé/F.() po:adj
or po:mg po:cjco
oral/W.() po:adj
ossu/F.() po:adj
ou po:mg po:cjco
ours/F.() po:nom
ovin/F.() po:adj
palé/F.() po:adj
